question,answer
When to get medical advice,"Occasional sleepwalking episodes do not usually need medical attention. Sleepwalking is rarely a sign of anything serious and may get better with time, particularly in children.
But, you should consider seeing a GP if sleepwalking happens frequently, you're concerned a person may be at risk of injuring themselves or others, or the episodes continue or start in adult life.
The GP may refer you to a specialist sleep centre, where your or your child's sleep history can be discussed in more detail. If appropriate, sleep studies can be arranged to exclude other conditions that could be triggering the sleepwalking, such as obstructive sleep apnoea or restless legs syndrome."
Treatments for sleepwalking,"There's no specific treatment for sleepwalking, but it generally helps to try to get enough sleep and have a regular and relaxing routine before bedtime. 
You may find the following advice helpful:
try to go to bed at a similar time each night
make sure your bedroom is dark and quiet when you go to sleep
limit drinks before bedtime, particularly ones containing caffeine, and go to the toilet before going to sleep
find ways to relax before going to bed, such as having a warm bath, reading or deep breathing
if your child sleepwalks at the same time most nights, try gently waking them for a short time 15 to 30 minutes before they would normally sleepwalk – this may stop them sleepwalking by altering their normal sleep cycle
Read about sleep and young children.
Medicine is not usually used to treat sleepwalking. However, medicines such as benzodiazepines or antidepressants are sometimes used if you sleepwalk often or there's a risk you could seriously injure yourself or others. These medicines can help you sleep and may reduce the frequency of sleepwalking episodes.
Therapies such as cognitive behavioural therapy (CBT) or hypnotherapy may sometimes be helpful."
Preventing accidents,"It's important to keep the areas of your home where a person may sleepwalk free of breakable or potentially harmful objects and to remove any items they could trip over. It's also a good idea to keep windows and doors locked.
If your child sleepwalks, do not let them sleep on the top bed of a bunk bed. You may want to fit safety gates at the top of the stairs.
It's also important to tell babysitters, relatives or friends who look after your child at night that your child may sleepwalk and what they should do if it happens."
Check if it's a slipped disc,"A slipped disc (also called a prolapsed or herniated disc) can cause:
lower back pain
numbness or tingling in your shoulders, back, arms, hands, legs or feet
neck pain
problems bending or straightening your back
muscle weakness
pain in the buttocks, hips or legs if the disc is pressing on the sciatic nerve (sciatica)
Not all slipped discs cause symptoms. Many people will never know they have slipped a disc."
How you can ease the pain from a slipped disc yourself,"Keep active
If the pain is very bad, you may need to rest at first. But start gentle exercise as soon as you can – it'll help you get better faster.
The type of exercise is not important, just gradually increase your activity level.
Take painkillers
Alternate painkillers such as ibuprofen and paracetamol. Paracetamol on its own is not recommended for back pain.
Take them regularly (up to the recommended daily amount) rather than just when the pain is particularly bad. This will help you to keep moving."
A pharmacist can help with a slipped disc,"Non-steroidal anti-inflammatory drugs (NSAIDs) like ibuprofen are not suitable for everyone. Speak to a pharmacist if you're not sure.
Stronger painkillers containing codeine may help for pain that's just started.
But these types of painkillers can cause addiction and should only be used for a few days.
Find a pharmacy"
Treatment for a slipped disc,"A GP might prescribe a stronger painkiller, a steroid injection or a muscle relaxant to use in the short term.
If your symptoms do not get better, a GP might recommend further tests, like an MRI scan.
They might also refer you to a physiotherapist. Physiotherapy from the NHS might not be available everywhere and waiting times can be long. You can also get it privately.
Find a physiotherapist
Surgery for a slipped disc
Surgery is not usually needed, but a GP might refer to you a specialist to discuss surgery if your symptoms:
have not improved using other treatments
include worsening muscle weakness, or numbness
Alternative treatments for a slipped disc
There's some evidence that manual therapies, like osteopathy, can help ease lower back pain.
You'll usually have to pay for this treatment privately"
What causes a slipped disc,"They can happen because of:
ageing
exercising too hard
lifting heavy objects the wrong way
vibration from driving or operating machinery
being inactive or overweight"
To help prevent a slipped disc,"Do
keep active – take regular exercise
use a safe technique when lifting heavy objects
Don’t
do not smoke – nicotine weakens the disc tissue"
How to treat and prevent smelly feet yourself,"Always keep your feet clean and dry, including between your toes.
Do
wash your feet at least once a day (use an antibacterial soap if you can)
remove hard skin with a foot file and keep toenails short and clean
use foot powder or an antiperspirant
wear breathable or natural fabrics on your feet, like cotton or leather
let shoes dry out before wearing them again
Don’t
do not wear the same socks or shoes 2 days in a row
do not wear tight shoes
do not walk around barefoot in public or communal places that are wet, like swimming pools and showers in gyms
A pharmacist can help with smelly feet
You can ask a pharmacist about:
antibacterial soaps, powders, and creams
special foot deodorant
medicated insoles for your shoes
antibacterial socks
Find a pharmacy"
Causes of smelly feet,"The main causes of smelly feet are a build-up of sweat and bacteria on them and fungal infections like athlete's foot.
The amount you sweat can be affected by:
hot weather
exercise
standing all day
being overweight
hormonal changes, which happen during puberty, menopause and pregnancy
some medicines, such as antidepressants
a condition that causes excessive sweating called hyperhidrosis"
Medical treatments for smelly feet,"Treatment for smelly feet depends on the cause.
If your smelly feet are caused by a fungal infection, a GP might prescribe a stronger antifungal treatment to clear it up.
If the cause is sweating, they might suggest a stronger antiperspirant or treatment to reduce sweating.
A treatment called iontophoresis may help with sweating, which involves passing a weak electrical current through the affected areas.
A GP might also suggest you see a foot specialist (podiatrist) if your footcare problems do not clear up quickly.
Find a podiatrist"
Common causes of smelly pee,"Pee is usually clear or pale yellow, with a mild smell.
Things that can often make your pee smell stronger include:
certain types of food and drink, like asparagus or coffee
not drinking enough fluids (dehydration)
some medicines
vitamin B6 supplements
If you have other symptoms such as pain when peeing, peeing more often than usual and pee that looks cloudy, you may have a urinary tract infection (UTI).
Less often, smelly pee can be caused by other conditions such as type 2 diabetes or kidney stones."
Things you can do if you have smelly pee,"There are some things you can do to help keep your pee clear and smelling mild.
Do
drink plenty of fluids, particularly water, so that you pee regularly during the day and do not feel thirsty
drink more in hot weather and when exercising
Don’t
do not drink a lot of sugary fizzy drinks, coffee or alcohol
do not eat a lot of garlic or asparagus – they contain strong-smelling chemicals that can pass into your pee
do not take more than 10mg of vitamin B6 a day"
Nicotine replacement therapy (NRT),"The main reason that people smoke is because they are addicted to nicotine.
NRT is a medicine that provides you with a low level of nicotine, without the tar, carbon monoxide and other poisonous chemicals present in tobacco smoke.
It can help reduce unpleasant withdrawal effects, such as bad moods and cravings, which may occur when you stop smoking.
Where to get it and how to use it
NRT can be bought from pharmacies and some shops. It's also available on prescription from a doctor or NHS stop smoking service.
It's available as:
skin patches
chewing gum
inhalators (which look like plastic cigarettes)
tablets, oral strips and lozenges
nasal and mouth spray
Patches release nicotine slowly. Some are worn all the time and some should be taken off at night. Inhalators, gum and sprays act more quickly and may be better for helping with cravings.
There's no evidence that any single type of NRT is more effective than another. But there is good evidence to show that using a combination of NRT is more effective than using a single product.
Often the best way to use NRT is to combine a patch with a faster acting form such as gum, inhalator or nasal spray.
Treatment with NRT usually lasts 8-12 weeks, before you gradually reduce the dose and eventually stop.
Who can use it
Most people are able to use NRT, including:
adults and children over 12 years of age – although children under 18 should not use the lozenges without getting medical advice first
pregnant women – your doctor may suggest NRT if they think it would help you quit; read more about stopping smoking in pregnancy
breastfeeding women – your doctor can advise you how to do this safely
Always read the packet or leaflet before using NRT to check whether it's suitable for you.
Sometimes it may be advisable to get medical advice first, for example if you have kidney or liver problems, or you've recently had a heart attack or stroke.
Possible side effects
Side effects of NRT can include:
skin irritation when using patches
irritation of nose, throat or eyes when using a nasal spray
difficulty sleeping (insomnia), sometimes with vivid dreams
an upset stomach
dizziness
headaches
Any side effects are usually mild. But if they're particularly troublesome, contact your GP as the dose or type of NRT may need to be changed."
Varenicline (Champix),"Varenicline (brand name Champix) is not currently available. It has been withdrawn as a precaution because of an impurity found in the medicine. It's not yet known whether it will be available again in future.
Varenicline is a medicine that works in 2 ways. It reduces cravings for nicotine like NRT, but it also blocks the rewarding and reinforcing effects of smoking. It was only available on prescription.
Speak to your GP or NHS stop smoking adviser who will be able to recommend an alternative treatment."
Bupropion (Zyban),"Bupropion (brand name Zyban) is a medicine originally used to treat depression, but it has since been found to help people quit smoking.
It's not clear exactly how it works, but it's thought to have an effect on the parts of the brain involved in addictive behaviour.
Where to get it and how to use it
Bupropion is only available on prescription, so you'll usually need to see your GP or contact an NHS stop smoking service to get it.
It's taken as 1 to 2 tablets a day. You should start taking it a week or 2 before you try to quit.
A course of treatment usually lasts around 7 to 9 weeks.
Who can take it
Most people can take bupropion, but there are some situations when it's not recommended. For example, it's not suitable if you:
are under 18 years old
are pregnant or breastfeeding
have epilepsy, bipolar disorder or an eating disorder
Possible side effects
Side effects of bupropion can include:
dry mouth
difficulty sleeping (insomnia)
headaches
feeling and being sick
constipation
difficulty concentrating
dizziness
Speak to your GP if you have any problems with side effects.
Serotonin syndrome
Serotonin syndrome is an uncommon, but potentially serious, set of side effects linked to some medicines. It happens when the levels of a chemical called serotonin in your brain become too high.
There's a risk of serotonin syndrome if you take more than your prescribed dose of bupropion, or if you take certain other medicines with bupropion such as:
selective serotonin reuptake inhibitors (SSRIs)
serotonin noradrenaline reuptake inhibitors (SNRIs)
Contact your GP or NHS 111 if you have any symptoms of serotonin syndrome, including:
feeling or being sick
diarrhoea
increased heart rate
feeling agitated
You can call 111 or get help from 111 online."
E-cigarettes,"An e-cigarette is an electronic device that delivers nicotine in a vapour. This allows you to inhale nicotine without most of the harmful effects of smoking, as the vapour contains no tar or carbon monoxide.
Research has found that e-cigarettes can help you give up smoking, so you may want to try them rather than the medicines listed above. As with other approaches, they're most effective if used with support from an NHS stop smoking service.
There are no e-cigarettes currently available on prescription.
For now, if you want to use an e-cigarette to help you quit, you'll have to buy one. Costs of e-cigarettes can vary, but generally they're much cheaper than cigarettes.
Read more about using e-cigarettes to stop smoking"
What to do while you're waiting for help,"If you've been bitten by a snake, there are things you can do while you're waiting for medical help.
Do
stay calm – most snake bites in the UK are not serious and can be treated
keep the part of your body that was bitten as still as you can
lie in the recovery position if you can
take paracetamol for any pain
try to remember the colour and pattern of the snake to tell the doctor
take off any jewellery and loosen clothes near the bite, in case the skin swells
Don’t
do not go near the snake, or try to catch or kill it
do not try to suck or cut the poison (venom) out of the bite
do not tie anything tightly round the part of the body where the bite is
do not take aspirin or ibuprofen, as they can make bleeding worse"
What happens at the hospital,"You'll usually need to stay in hospital for at least 24 hours if you've been bitten by a snake.
The bite will be cleaned and bandaged. You may be given an injection to help protect you from tetanus.
If you were bitten by a poisonous (venomous) snake you'll be treated with a medicine to fight the venom. This is given through a thin tube into a vein, called a drip."
Types of UK snake,"Only 3 types of snake are found in the wild in the UK.
The adder is the only poisonous (venomous) snake, but you should get all snake bites checked as soon as possible.
Telling the doctors the colour and pattern of the snake that bit you could help them treat it.
Adders are grey or reddish-brown, with a dark zig-zag shaped stripe down their back.
Credit:
Grass snakes are usually green, with dark spots down their sides, and yellow and black bands around their neck.
Credit:
Smooth snakes are usually grey or brown with a dark pattern. The patterns down their backs are lighter and less zig-zag shaped than on adders.
Credit:"
Things you can do to help you stop snoring,"Simple lifestyle changes can help stop or reduce snoring.
Do
try to lose weight if you're overweight
sleep on your side – try taping or stitching a tennis ball to the back of your sleepwear, or buy a special pillow or bed wedge to help keep you on your side
consider asking your partner to use earplugs if your snoring affects their sleep
Don’t
do not smoke
do not drink too much alcohol
do not take sleeping pills – these can sometimes cause snoring"
What happens at your appointment,"If you snore, the GP will look inside your mouth and nose to check for any problems that might be causing it.
It can help to bring someone with you to your appointment who can describe what your snoring is like, such as a partner.
The GP may do a blood test or refer you to a specialist for treatment or further tests if they're not sure what the cause is."
Treatment for snoring depends on the cause,"Talk to a doctor about the best snoring treatment for you.
Causes and treatments for snoring
Possible cause Treatments
Tongue partially blocking the back of your throat
A device you wear in your mouth to bring your tongue forward (mandibular advancement device)
Mouth falling open when you're asleep
A chin strap to hold your mouth closed, or a device you wear in your mouth to make you breathe through your nose while you sleep (vestibular shield)
Blocked or narrow airways in your nose
Special devices (nasal dilators) or strips that hold your nose open while you sleep, or decongestants or nasal sprays to reduce swelling inside your nose
Surgery for snoring
Surgery is sometimes used to treat snoring if other treatments do not help.
But it's not widely available on the NHS, it does not always work and snoring can come back afterwards."
Causes of snoring,"Snoring is caused by things such as your tongue, mouth, throat or airways in your nose vibrating as you breathe.
It happens because these parts of your body relax and narrow when you're asleep.
You're more likely to snore if you:
are overweight
smoke
drink too much alcohol
sleep on your back
Sometimes it's caused by a condition like sleep apnoea, which is when your airways become temporarily blocked as you sleep."
Symptoms of social anxiety,"Social anxiety is more than shyness. It's a fear that does not go away and affects everyday activities, self confidence, relationships and work or school life.
Many people occasionally worry about social situations, but someone with social anxiety feels overly worried before, during and after them.
You may have social anxiety if you:
worry about everyday activities, such as meeting strangers, starting conversations, speaking on the phone, working or shopping
avoid or worry a lot about social activities, such as group conversations, eating with company and parties
always worry about doing something you think is embarrassing, such as blushing, sweating or appearing incompetent
find it difficult to do things when others are watching – you may feel like you're being watched and judged all the time
fear being criticised, avoid eye contact or have low self-esteem
often have symptoms like feeling sick, sweating, trembling or a pounding heartbeat (palpitations)
have panic attacks, where you have an overwhelming sense of fear and anxiety, usually only for a few minutes
Many people with social anxiety also have other mental health issues, such as depression, generalised anxiety disorder or panic disorder."
When to get help for social anxiety,"It's a good idea to see a GP if you think you have social anxiety, especially if it's having a big impact on your life.
It's a common problem and there are treatments that can help.
Asking for help can be difficult, but a GP will be aware that many people struggle with social anxiety and will try to put you at ease.
They'll ask you about your feelings, behaviours and symptoms to find out about your anxiety in social situations.
If they think you could have social anxiety, you'll be referred to a mental health specialist to have a full assessment and talk about treatments.
You can also refer yourself directly to an NHS talking therapies service without a referral from a GP.
Find an NHS talking therapies service"
Things you can try to overcome social anxiety,"Self-help can help reduce social anxiety and you might find it a useful first step before trying other treatments.
The following tips may help:
try to understand more about your anxiety – by thinking about or writing down what goes through your mind and how you behave in certain social situations, it can help to keep a diary
try some relaxation techniques, such as breathing exercises for stress
break down challenging situations into smaller parts and work on feeling more relaxed with each part
try to focus on what people are saying rather than just assuming the worst"
Treatments for social anxiety,"A number of treatments are available for social anxiety.
The main options are:
cognitive behavioural therapy (CBT) with a therapist, which is therapy that helps you identify negative thought patterns and behaviours, and change them; this can be done with just you and a therapist, in a group or with your parents or carers
guided self-help, which involves working through a CBT-based workbook or online course with regular support from a therapist
antidepressant medicines, usually a type of medicine called a selective serotonin reuptake inhibitor (SSRI), such as escitalopram or sertraline; these are usually not used to treat children and young people
CBT is generally considered the best treatment, but other treatments may help if it does not work or you do not want to try it.
Some people need to try a combination of treatments."
Support groups,"There are several charities, support groups and online forums for people with social anxiety and other anxiety disorders, including:
Anxiety UK
a HealthUnlocked anxiety forum run by Anxiety Support
Mind and YoungMinds
Triumph Over Phobia (TOP UK)"
Social anxiety in children,"Social anxiety can also affect children.
Signs of social anxiety in a child include:
crying or getting upset more often than usual
getting angry a lot
avoiding interaction with other children and adults
fear of going to school or taking part in classroom activities, school performances and social events
not asking for help at school
being very reliant on their parents or carer
Speak to a GP if you're worried about your child. They'll ask you about your child's behaviour and talk to them about how they feel.
Treatments for social anxiety in children are similar to those for teenagers and adults, although medicines are not normally used.
Therapy will be tailored to your child's age and will often involve help from you.
You may be given training and self-help materials to use between sessions. It may also take place in a small group."
Symptoms of soft tissue sarcomas,"Soft tissue sarcomas often have no obvious symptoms in the early stages.
They can cause symptoms as they get bigger or spread. The symptoms depend on where the cancer develops.
For example:
swelling under the skin may cause a painless lump that cannot easily be moved around and gets bigger over time
swelling in the tummy (abdomen) may cause abdominal pain, a persistent feeling of fullness and constipation
swelling near the lungs may cause a cough or breathlessness
You should see a GP if you have a lump – particularly one that's getting bigger over time.
Although it's much more likely you have a non-cancerous condition, such as a cyst (fluid under the skin) or lipoma (fatty lump), it's important to have your symptoms checked."
Types of soft tissue sarcoma,"There are many different types of soft tissue sarcoma, depending on where in the body it develops.
Examples include:
leiomyosarcoma – develops in muscle tissue
liposarcoma – develops in fat tissue
angiosarcoma – develops in the cells of the blood or lymph glands
gastrointestinal stromal tumours (GISTs) – develop in the connective tissues that support the organs of the digestive system"
Causes of soft tissue sarcomas,"In most cases there are no obvious reasons why a soft tissue sarcoma develops, but there are a number of things known to increase the risk, including:
age – soft tissue sarcomas can happen at any age, including in children, but they're more common in middle-aged or elderly people and your risk increases as you get older
certain genetic conditions, such as neurofibromatosis type 1 and retinoblastoma, are associated with an increased risk of soft tissue sarcomas
previous radiotherapy – some people who have previously had radiotherapy for another type of cancer develop a soft tissue sarcoma, often many years later
exposure to certain chemicals, including vinyl chloride, dioxins and phenoxyacetic herbicides, has been associated with increased rates of soft tissue sarcoma
Kaposi's sarcoma is a very rare sarcoma caused by the human herpesvirus 8 (HHV-8) infecting someone with a weakened immune system (such as people with HIV)."
Diagnosing soft tissue sarcomas,"If your GP feels there's a possibility you have soft tissue sarcoma, they'll refer you for a number of tests.
A diagnosis of a soft tissue sarcoma will usually be made by a hospital specialist and will be based on your symptoms, a physical examination, and the results of:
scans – an ultrasound scan is usually the first test done and is fairly simple and quick. Further scans, such as an MRI scan, may be done later
a biopsy – where a sample of suspected cancerous tissue is removed, using a needle or during an operation, so it can be analysed in a laboratory
If a diagnosis of soft tissue sarcoma is confirmed, these and further tests will also help determine how likely the cancer is to spread (known as the ""grade""), and whether or how far the cancer has spread (known as the ""stage"")."
Treatments for soft tissue sarcomas,"People with a soft tissue sarcoma are cared for by a team of doctors and nurses at specialist centres who will help to plan the most appropriate treatment.
The best treatment depends on things such as where the cancer developed, the type of sarcoma it is, how far it has spread, your age and your general health.
The main treatments are:
surgery to remove any tumour
radiotherapy – where high-energy radiation is used to kill cancer cells
chemotherapy and other medicines to kill the cancer cells
Surgery
Surgery is the main treatment for soft tissue sarcomas that are diagnosed at an early stage.
It usually involves removing the tumour along with a section of surrounding healthy tissue. This helps to ensure no cancer cells are left behind.
Every effort will be made to reduce the impact of surgery on the appearance and function of the affected body part. But there is a chance you'll have some difficulty using the affected body part after surgery and sometimes further surgery may be needed to repair it.
In a very small number of cases, there may be no option but to amputate the part of the body where the cancer is located, such as part of the leg.
Radiotherapy
In some sarcomas, radiotherapy is used before or after surgery to improve the chance of cure. This is done using a machine that directs beams of radiation at a small treatment area.
Radiotherapy alone may also sometimes be used when surgery is not possible, to reduce symptoms caused by the sarcoma or slow its progression.
Common side effects of radiotherapy include sore skin, tiredness and hair loss in the treatment area. These tend to get better within a few days or weeks of treatment finishing.
Chemotherapy
Chemotherapy is very occasionally used before surgery to shrink a tumour and make it easier to remove. This involves being given cancer-killing medicine directly into a vein (intravenously).
Chemotherapy may also be used alone or alongside radiotherapy for soft tissue sarcomas that can't be surgically removed.
Common side effects of chemotherapy include feeling tired and weak all the time, feeling and being sick, and hair loss. These can be unpleasant but are usually temporary.
There are also other types of anti-cancer medicines used to treat sarcoma that may be given as injections or tablets."
Outlook for soft tissue sarcomas,"The outlook for a soft tissue sarcoma mostly depends on the type of sarcoma it is, how likely it is to spread (the grade) and how far it has already spread (the stage) by the time it's diagnosed.
If it's detected at an early stage or is a low-grade tumour and it can be removed during surgery, a cure is usually possible. However, larger, high-grade tumours have a greater risk of coming back or spreading.
After initial treatment, you'll need regular check-ups to look for any signs the cancer has come back. You may also need physiotherapy and occupational therapy to help you manage any physical difficulties resulting from surgery.
A cure is not usually possible if a soft tissue sarcoma is only detected when it has already spread to other parts of the body, although treatment can help slow the spread of the cancer and control your symptoms.
Further information
Cancer Research UK: soft tissue sarcomas
Macmillan: soft tissue sarcomas
Sarcoma UK: soft tissue sarcoma
GIST UK: what is GIST?"
Causes of soiling,"You may feel angry or frustrated when your child keeps pooing their pants (soiling). But they are not doing it on purpose and may not even realise it's happening.
Soiling usually happens when a child is so constipated that a large, hard piece of poo becomes stuck at the end of their gut (rectum).
Fresh poo from higher up the gut then runs around the hard poo and leaks out, staining their pants.
Signs your child is badly constipated"
Treatment for soiling from a GP,"If your child is pooing their pants (soiling) because they're constipated, a GP can prescribe laxatives to clear out the hard poo and get your child pooing regularly and comfortably again.
This can take a few months to work. The GP will want to see your child regularly to check how they are doing.
The soiling may get worse before it gets better.
A GP may refer your child to a specialist for treatment if they think soiling could be caused by another medical condition."
Things you can do at home to help with soiling,"If your child is regularly pooing their pants (soiling), it can help to:
set up a regular toilet routine for your child – for example, they could sit on the toilet for 5 minutes every day after each meal and before going to bed
be positive and encouraging – you could use a star chart to reward your child for sitting on the toilet (whether or not they do a poo), or leave some toys or books next to the toilet
encourage your child to go to the toilet as soon as they get the urge to during the day
make sure your child is drinking plenty of fluids and has enough fibre in their diet
encourage your child to be physically active"
Things you can do if you have a sore or white tongue,"Do
use a soft toothbrush to brush your teeth
brush your tongue or use a scraper to help improve a white tongue
use a straw to drink cool drinks
take paracetamol or ibuprofen
Don’t
do not use a toothpaste that contains sodium lauryl sulphate
do not eat spicy, acidic or hot food and drink that may irritate your tongue
do not smoke
do not drink alcohol
A pharmacist can help with a sore or white tongue
You can ask a pharmacist:
what's causing your sore or white tongue
if you can buy anything to help with any pain or irritation
if you should see a dentist or GP
Find a pharmacy"
Common causes of a sore or white tongue,"Biting or burning your tongue with hot food or drink can cause pain and swelling. This should only last a few days.
A white tongue can be a sign of a health condition, such as anaemia, scarlet fever, lichen planus, leukoplakia, geographic tongue, mouth ulcers or oral thrush.
But do not self-diagnose. See a GP if you're worried.
Lichen planus"
How to treat a sore throat yourself,"To help soothe a sore throat and shorten how long it lasts, you can:
gargle with warm, salty water (children should not try this)
drink plenty of water
eat cool or soft foods
avoid smoking or smoky places
suck ice cubes, ice lollies or hard sweets – but do not give young children anything small and hard to suck because of the risk of choking
rest
How to gargle with salt water"
A pharmacist can help with sore throats,"You can ask a pharmacist about ways of relieving the pain and discomfort of a sore throat, such as:
paracetamol or ibuprofen
medicated lozenges containing a local anaesthetic, antiseptic, or anti-inflammatory medicine
anaesthetic spray (although there's little proof they help)
You can buy these treatments from a supermarket or from a pharmacy without a prescription.
A pharmacist can also provide other treatments if you need them, without you seeing a GP.
Some medicines are not safe for everyone (for example, if you're pregnant). Always check the leaflet or speak to a pharmacist before taking them.
Find a pharmacy
Antibiotics
You do not normally need antibiotics for a sore throat because they will not usually relieve your symptoms or speed up your recovery.
You'll only be given antibiotics if you could have a bacterial infection."
Sore throat symptoms,"If you have a sore throat you might have:
a painful throat, especially when swallowing
a dry, scratchy throat
redness in the back of your mouth
bad breath
a mild cough
swollen neck glands
The symptoms are similar for children, but children can also get a temperature and appear less active."
Causes of sore throats,"Sore throats are usually caused by viruses (like cold or flu) or from smoking. Very occasionally they can be caused by bacteria.
A sore throat can also be caused by:
laryngitis
tonsillitis
strep throat (a bacterial throat infection)
glandular fever"
Types of spina bifida,"There are several different types of spina bifida, including:
myelomeningocele – the most severe type of spina bifida; the baby's spinal canal remains open along several vertebrae in the back, allowing the spinal cord and protective membranes around it to push out and form a sac in the baby's back
meningocele – another serious type of spina bifida where the protective membranes around the spinal cord (meninges) push out through the spine; the spinal cord usually develops normally so surgery can often be used to remove the membranes without damaging the nerves
spina bifida occulta – the most common and mildest type of spina bifida; 1 or more vertebrae does not form properly, but the gap in the spine is very small; spina bifida occulta does not usually cause any problems and most people are unaware they have it
These pages focus on myelomeningocele, the most severe type of spina bifida, and this is the type usually referred to whenever the term spina bifida is used.
Shine is a charity that provides help and support for people affected by spina bifida. 
Their website has more information about the other types of spina bifida."
Symptoms of spina bifida,"Most people with spina bifida are able to have surgery to close the opening in the spine.
But the nervous system will usually already have been damaged, which can lead to problems such as:
weakness or total paralysis of the legs
bowel incontinence and urinary incontinence
loss of skin sensation in the legs and around the bottom – the child is unable to feel hot or cold, which can lead to accidental injury
Many babies will have or develop hydrocephalus (a build-up of fluid on the brain), which can further damage the brain.
Most people with spina bifida have normal intelligence, but some have learning difficulties.
Read more about the symptoms of spina bifida."
Causes of spina bifida,"The cause of spina bifida is unknown, but a number of factors can increase the risk of a baby developing the condition.
These include: 
low folic acid intake during pregnancy
having a family history of spina bifida
medicines – taking certain medicines such as valproic acid (used to prevent seizures) during pregnancy has been linked to an increased risk of having a baby with spina bifida
Read more about the causes of spina bifida."
Diagnosing spina bifida,"Spina bifida is often detected during the mid-pregnancy anomaly scan, which is offered to all pregnant women between 18 and 21 weeks of pregnancy.
If tests confirm that your baby has spina bifida, the implications will be discussed with you.
This will include a discussion about the possible problems associated with the condition, the treatment and support your child may need if you decide to continue with the pregnancy, and what your options are regarding ending the pregnancy, if that's your choice.
Tests after birth
Once the baby is born, a number of tests may be carried out to find out how bad the condition is and help decide which treatments are likely to be the best option.
Tests may include:
monitoring your child's head growth and carrying out a brain scan, using an ultrasound scan, CT scan or MRI scan, to check for hydrocephalus (excess fluid on the brain)
ultrasound scans of the bladder and kidneys to check whether your baby stores their pee normally
an assessment of your baby's movements to check for paralysis
Surgery to repair the spine will usually be recommended soon after your baby is born."
Treating spina bifida,"Treatments for the symptoms or conditions associated with spina bifida include:
surgery soon after birth to close the opening in the spine and treat hydrocephalus
therapies to help make day-to-day life easier and improve independence, such as physiotherapy and occupational therapy
assistive devices and mobility equipment, such as a wheelchair, or walking aids
treatments for bowel and urinary problems
With the right treatment and support, many children with spina bifida survive well into adulthood.
It can be a challenging condition to live with, but many adults with spina bifida are able to lead independent and fulfilling lives.
Read more about treating spina bifida."
Preventing spina bifida with folic acid,"The best way to prevent spina bifida is to take folic acid supplements before and during pregnancy.
Folic acid recommendations
You should take a 400 microgram folic acid tablet every day while you're trying to get pregnant and until you're 12 weeks pregnant.
If you did not take folic acid before you conceived, you should start as soon as you find out you're pregnant.
Folic acid tablets are available from pharmacies and supermarkets, or a GP may be able to prescribe them for you.
You should also try to eat foods that contain folate (the natural form of folic acid), such as broccoli, spinach and chickpeas.
Read more about folic acid, including folic acid supplements and foods containing folate.
Recommendations for women at higher risk of spina bifida
Women thought to be at higher risk of having a child with spina bifida need to be prescribed a higher (5 milligram) dose of folic acid by a GP.
Women at higher risk include those:
with a family history of neural tube defects
with a partner with a family history of neural tube defects
who have had a previous pregnancy affected by a neural tube defect
with diabetes
A GP can advise you further about this.
If you're taking medicine to treat epilepsy, you should ask your GP for advice. You may also need to take a higher dose of folic acid."
Help and support,"If you have a child with spina bifida or you've been diagnosed with the condition yourself, you may find it helpful to speak to other people affected by it.
Shine, the spina bifida and hydrocephalus charity, can provide you with details about local support groups and organisations.
You can find and contact your regional Shine team or read about support for carers on the Shine website."
National Congenital Anomaly and Rare Disease Registration Service,"If you or your child has spina bifida, your clinical team will pass information about you or your child on to the National Congenital Anomaly and Rare Disease Registration Service (NCARDRS).
The NCARDRS helps scientists look for better ways to prevent and treat this condition. You can opt out of the register at any time."
Symptoms of SMA,"The symptoms of SMA and when they first appear depend on the type of SMA you have.
Typical symptoms include:
floppy or weak arms and legs
movement problems – such as difficulty sitting up, crawling or walking
twitching or shaking muscles (tremors)
bone and joint problems – such as an unusually curved spine (scoliosis)
swallowing problems
breathing difficulties
SMA does not affect intelligence or cause learning disabilities."
Types of SMA,"There are several types of SMA, which start at different ages. Some types cause more serious problems than others.
The main types are:
type 1 – develops in babies less than 6 months old and is the most severe type
type 2 – appears in babies who are 7 to 18 months old and is less severe than type 1
type 3 – develops after 18 months of age and is the least severe type affecting children
type 4 – affects adults and usually only causes mild problems
In the past, babies with type 1 rarely survived beyond the first few years of life. But in recent years outcomes have improved with early diagnosis and treatment.
Most children with type 2 survive into adulthood and can live long, fulfilling lives. Types 3 and 4 do not usually affect life expectancy.
Read more about the types of SMA."
Treatments for SMA,"It's not currently possible to cure SMA, but research is ongoing to find possible new treatments.
Treatment and support is available to manage the symptoms and help people with SMA have the best possible quality of life.
Treatment may involve:
exercises and equipment to help with movement and breathing
feeding tubes and dietary advice
braces or surgery to treat problems with the spine or joints
medicines that target the faulty genes that cause the condition
A range of healthcare professionals may be involved in your care, including specialist doctors, physiotherapists, occupational therapists, and speech and language therapists.
Read more about treatments for SMA."
Tests for SMA,"The genetic problem that causes SMA is passed on to a child by their parents.
Speak to a GP if you're planning a pregnancy and:
you've had a child with SMA before
you have a history of the condition in your family
your partner has a history of the condition in their family
The GP may refer you to a genetic counsellor to discuss the risk of the condition affecting a future pregnancy and any tsts you can have.
If you're pregnant and there's a chance your baby could have SMA, tests can be carried out to check if they'll be born with the condition. 
Tests can also be done after birth to diagnose SMA in children and adults.
Read more about tests for SMA."
